PU-Code,PU-Name,Ward,Latitude,Longitude,APC_outlier,LP_outlier,PDP_outlier,NNPP_outlier,Neighbors
03-15-09-002,"VILLAGE HALL, IKOT ANDEM/ANWA URUA",ODORO UKWOK,5.321359,7.7715529,25.83333333,8.5,1.5,2.833333333,"['03-12-04-007', '03-15-09-001', '03-15-09-004', '03-15-09-005', '03-15-09-006', '03-15-09-007']"
03-15-09-003,"VILLAGE HALL, IKOT UBAM/IKOT ABASI",ODORO UKWOK,4.573912,7.5788975,4.5,48.6875,27.5625,2.125,"['03-13-01-002', '03-13-01-003', '03-13-01-004', '03-13-01-005', '03-13-02-001', '03-13-02-004', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
03-15-09-004,"VILLAGE HALL, IKOT UDOATA/IKOT EDE",ODORO UKWOK,5.321359,7.7715529,14.16666667,0.333333333,17.16666667,0.666666667,"['03-12-04-007', '03-15-09-001', '03-15-09-002', '03-15-09-005', '03-15-09-006', '03-15-09-007']"
03-15-09-005,"PCN SCH, ABA ITIAT",ODORO UKWOK,5.321359,7.7715529,3.666666667,5.5,10.83333333,0.666666667,"['03-12-04-007', '03-15-09-001', '03-15-09-002', '03-15-09-004', '03-15-09-006', '03-15-09-007']"
03-15-09-006,"VILLAGE HALL, IKOT IDUT/IKOT INYANG",ODORO UKWOK,5.321359,7.7715529,8,6.166666667,27.66666667,0.666666667,"['03-12-04-007', '03-15-09-001', '03-15-09-002', '03-15-09-004', '03-15-09-005', '03-15-09-007']"
03-15-09-007,"VILLAGE HALL, IBESIKPO IKOT UDOBIA",ODORO UKWOK,5.318178,7.766798,44.5,2.666666667,14.33333333,0.666666667,"['03-12-04-007', '03-15-09-001', '03-15-09-002', '03-15-09-004', '03-15-09-005', '03-15-09-006']"
03-15-10-001,"VILLAGE HALL, IKOT OBIO ASANG/IKOT AKPAN",USUK UKWOK,5.30676,7.7906509,32,5.5,76.5,1,"['03-15-10-002', '03-15-10-006']"
03-15-10-002,"VILLAGE HALL, ATAN/IKOT UNO",USUK UKWOK,5.30676,7.7906509,6.5,14,58.5,2,"['03-15-10-001', '03-15-10-006']"
03-15-10-003,"TOWN HALL, USUK NTATAN/IKOT UDO EBOHO",USUK UKWOK,5.338287,7.8170804,0,0,0,0,[]
03-15-10-004,"TOWN HALL, EDEM AKAI/IKOT ISE",USUK UKWOK,5.308019,7.8014482,19,13,46.5,0,"['03-15-10-005', '03-15-10-007']"
03-15-10-005,"GOVT SCH, IKOT ATA UDO/IKOT ISE",USUK UKWOK,5.308019,7.8014482,47.5,0.5,37.5,0,"['03-15-10-004', '03-15-10-007']"
03-15-10-006,"VILLAGE HALL, IKOT ANTIA/USUK IDIM",USUK UKWOK,5.30676,7.7906509,38.5,8.5,18,1,"['03-15-10-001', '03-15-10-002']"
03-15-10-007,"VILLAGE SQUARE, IKOT IDEM",USUK UKWOK,5.308019,7.8014482,66.5,12.5,84,0,"['03-15-10-004', '03-15-10-005']"
03-16-01-001,"VILLAGE SQUARE, IKOT ABIYAK",OKU IBOKU,5.155625,8.0591349,0.5,7.125,14.5,5.125,"['03-16-01-002', '03-16-01-003', '03-16-01-004', '03-16-01-005', '03-16-01-011', '03-16-01-012', '03-16-01-014', '03-16-01-016']"
03-16-01-002,A/C SEC COMM SCH,OKU IBOKU,5.155625,8.0591349,16.375,0.75,41.75,7.375,"['03-16-01-001', '03-16-01-003', '03-16-01-004', '03-16-01-005', '03-16-01-011', '03-16-01-012', '03-16-01-014', '03-16-01-016']"
03-16-01-003,"VILLAGE SQUARE, IKOT ADAKPAN",OKU IBOKU,5.155028,8.0521018,6.888888889,3.777777778,54,2.444444444,"['03-16-01-001', '03-16-01-002', '03-16-01-004', '03-16-01-005', '03-16-01-011', '03-16-01-012', '03-16-01-014', '03-16-02-007', '03-16-01-016']"
03-16-01-004,"TOWN HALL, IKOT EKA IKO",OKU IBOKU,5.155625,8.0591349,8.375,1.5,10,5.125,"['03-16-01-001', '03-16-01-002', '03-16-01-003', '03-16-01-005', '03-16-01-011', '03-16-01-012', '03-16-01-014', '03-16-01-016']"
03-16-01-005,"TOWN HALL, IKOT ANTUEN",OKU IBOKU,5.155625,8.0591349,1.625,38.625,30.5,7.25,"['03-16-01-001', '03-16-01-002', '03-16-01-003', '03-16-01-004', '03-16-01-011', '03-16-01-012', '03-16-01-014', '03-16-01-016']"
03-16-01-006,"TOWN HALL, IKOT ESIA",OKU IBOKU,5.140865,8.026064,11,7.285714286,21.14285714,0,"['03-16-01-007', nan, nan, nan, nan, nan, nan]"
03-16-01-007,"TOWN HALL, IKOT ESSIEN",OKU IBOKU,5.13804,8.0195879,11.85714286,5.285714286,24.57142857,5.714285714,"['03-16-01-006', nan, nan, nan, nan, nan, nan]"
03-16-01-008,"VILLAGE SQUARE, IKOT NTU",OKU IBOKU,5.156091,8.0223146,46,12,2,2,[nan]
03-16-01-009,"VILLAGE SQUARE, IKA OKU IBOKU",OKU IBOKU,5.143896,8.0417452,0,0,0,0,[]
03-16-01-010,"VILLAGE SQUARE, MBARAKOM ITU",OKU IBOKU,5.201348,7.9953931,7.5,2.5,68,0.5,"['03-15-03-010', '03-16-01-013']"
03-16-01-011,CLERKS QUARTERS,OKU IBOKU,5.155625,8.0591349,4,6.375,8.875,7.25,"['03-16-01-001', '03-16-01-002', '03-16-01-003', '03-16-01-004', '03-16-01-005', '03-16-01-012', '03-16-01-014', '03-16-01-016']"
03-16-01-012,HOSPITAL ROAD,OKU IBOKU,5.155625,8.0591349,0.5,6.375,16.75,20.75,"['03-16-01-001', '03-16-01-002', '03-16-01-003', '03-16-01-004', '03-16-01-005', '03-16-01-011', '03-16-01-014', '03-16-01-016']"
03-16-01-013,"VILLAGE SQUARE, ODU ITU",OKU IBOKU,5.201348,7.9953931,18,4,51.5,1,"['03-15-03-010', '03-16-01-010']"
03-16-01-014,"VILLAGE SQUARE, EDEM INYANG",OKU IBOKU,5.155625,8.0591349,4,12,26,7.375,"['03-16-01-001', '03-16-01-002', '03-16-01-003', '03-16-01-004', '03-16-01-005', '03-16-01-011', '03-16-01-012', '03-16-01-016']"
03-16-01-015,"VILLAGE SQUARE, IFIA AFIA ISONG",OKU IBOKU,5.248616,8.0168613,0,0,0,0,[]
03-16-02-002,"VILLAGE SQUARE, IKOT AKPABIO",MBIASE/AYADEHE,5.180591,8.051974,31.875,15.25,29,17,"['03-16-02-003', '03-16-02-004', '03-16-02-006', '03-16-02-008', '03-16-02-009', '03-16-02-011', '03-16-02-012', '03-16-02-014']"
03-16-02-003,"VILLAGE SQUARE, AYANATE",MBIASE/AYADEHE,5.180591,8.051974,4.125,6.125,6.5,1.25,"['03-16-02-002', '03-16-02-004', '03-16-02-006', '03-16-02-008', '03-16-02-009', '03-16-02-011', '03-16-02-012', '03-16-02-014']"
03-16-02-004,"VILLAGE SQUARE, NYA ANATANG",MBIASE/AYADEHE,5.180591,8.051974,2.625,2.875,7,4.625,"['03-16-02-002', '03-16-02-003', '03-16-02-006', '03-16-02-008', '03-16-02-009', '03-16-02-011', '03-16-02-012', '03-16-02-014']"
03-16-02-005,"TOWN HALL, ETEHENTEM",MBIASE/AYADEHE,5.219524,8.0343303,0,0,0,0,[]
03-16-02-006,"TOWN HALL, EFIK IBUNO",MBIASE/AYADEHE,5.180591,8.051974,4.125,0.5,11.5,1,"['03-16-02-002', '03-16-02-003', '03-16-02-004', '03-16-02-008', '03-16-02-009', '03-16-02-011', '03-16-02-012', '03-16-02-014']"
03-16-02-007,"TOWN HALL, IKOT OFFIONG",MBIASE/AYADEHE,5.161259,8.0478823,22,8,64,1,['03-16-01-003']
03-16-02-008,"VILLAGE HALL, MKPANARUK",MBIASE/AYADEHE,5.180591,8.051974,1.5,5.125,8.125,6.625,"['03-16-02-002', '03-16-02-003', '03-16-02-004', '03-16-02-006', '03-16-02-009', '03-16-02-011', '03-16-02-012', '03-16-02-014']"
03-16-02-009,"VILLAGE SQUARE, IKOT OTU",MBIASE/AYADEHE,5.180591,8.051974,7.5,6.125,17.75,0.125,"['03-16-02-002', '03-16-02-003', '03-16-02-004', '03-16-02-006', '03-16-02-008', '03-16-02-011', '03-16-02-012', '03-16-02-014']"
03-16-02-010,"VILLAGE SQUARE, MBIABO EDERE",MBIASE/AYADEHE,5.220152,8.0673198,0,0,0,0,[]
03-16-02-011,EKONG SETTLEMENT,MBIASE/AYADEHE,5.180591,8.051974,1.5,2.875,4.25,4.375,"['03-16-02-002', '03-16-02-003', '03-16-02-004', '03-16-02-006', '03-16-02-008', '03-16-02-009', '03-16-02-012', '03-16-02-014']"
03-16-02-012,"VILLAGE SQUARE, ETON ANI",MBIASE/AYADEHE,5.180591,8.051974,9.75,5,11,4.375,"['03-16-02-002', '03-16-02-003', '03-16-02-004', '03-16-02-006', '03-16-02-008', '03-16-02-009', '03-16-02-011', '03-16-02-014']"
03-16-02-014,"VILLAGE SQUARE, IKOT UDO",MBIASE/AYADEHE,5.180591,8.051974,12,8.375,41.875,6.625,"['03-16-02-002', '03-16-02-003', '03-16-02-004', '03-16-02-006', '03-16-02-008', '03-16-02-009', '03-16-02-011', '03-16-02-012']"
03-16-03-001,"TOWN HALL, ODIOK ITAM",EAST ITAM 1,5.09074,7.929386,15.75,17.25,18,0.25,"['03-16-10-006', nan, nan, nan]"
03-16-03-002,"TOWN HALL, MBIABONG",EAST ITAM 1,5.055781,8.0178838,18.16666667,40,2.666666667,5.833333333,"['03-31-04-006', nan, nan, nan, nan, nan]"
03-16-03-003,"TOWN HALL, EFI ITAM",EAST ITAM 1,5.12419,7.9360054,0,0,0,0,[]
03-16-03-004,"TOWN HALL, IKOT ANSE",EAST ITAM 1,5.102038,7.9293247,14.5,27.5,25.5,1,"['03-16-10-006', nan]"
03-16-03-005,"TOWN HALL, IBIAKU IKOT OBONG",EAST ITAM 1,5.105941,7.9790406,2.230769231,7.615384615,8.153846154,3.615384615,"['03-16-03-006', '03-16-10-002', '03-29-04-009', '03-29-04-010', '03-29-04-011', '03-29-04-012', '03-29-05-001', '03-29-05-002', '03-29-05-003', '03-31-07-009', nan, nan, nan]"
03-16-03-006,"PRY SCH , IBIAKU IKOT OBONG",EAST ITAM 1,5.105941,7.9790406,24.69230769,39.92307692,29.69230769,1.461538462,"['03-16-03-005', '03-16-10-002', '03-29-04-009', '03-29-04-010', '03-29-04-011', '03-29-04-012', '03-29-05-001', '03-29-05-002', '03-29-05-003', '03-31-07-009', nan, nan, nan]"
03-16-04-001,"PRY SCH, EKIRITAM. I",EAST ITAM 11,5.109482,7.9538378,38.5,47.75,72,4.5,"['03-16-04-002', '03-16-04-003', '03-16-04-007', '03-16-04-008']"
03-16-04-002,"PRY SCH, EKIRITAM. II",EAST ITAM 11,5.109482,7.9538378,0.25,17.25,23,0.75,"['03-16-04-001', '03-16-04-003', '03-16-04-007', '03-16-04-008']"
03-16-04-003,"VILLAGE SQUARE, ATAI EKIRITAM",EAST ITAM 11,5.109482,7.9538378,0.25,14.75,32,11.75,"['03-16-04-001', '03-16-04-002', '03-16-04-007', '03-16-04-008']"
03-16-04-004,AFE ATAI IBIATOK,EAST ITAM 11,5.176738,7.8959731,13.33333333,15.66666667,9.333333333,4.333333333,"['03-10-04-008', '03-10-09-001', nan]"
03-16-04-006,"PRY SCH, MBIATOK II",EAST ITAM 11,5.121639,7.9626919,1.666666667,14,28.33333333,5.333333333,"[nan, nan, nan]"
03-16-04-007,"TOWN HALL, UYO ITAM",EAST ITAM 11,5.11375,7.9480493,20.25,43.5,71.75,4.5,"['03-16-04-001', '03-16-04-002', '03-16-04-003', '03-16-04-008']"
03-16-04-008,"TOWN HALL, IKOT IKONO",EAST ITAM 11,5.109482,7.9538378,17.75,27.75,9.25,2,"['03-16-04-001', '03-16-04-002', '03-16-04-003', '03-16-04-007']"
03-16-04-009,"TOWN HALL, AKON ITAM",EAST ITAM 11,5.155641,7.9810845,3.3,13.1,4.1,0.5,"['03-16-06-001', '03-16-06-002', '03-16-06-005', '03-16-06-006', '03-16-06-007', '03-16-06-009', nan, nan, nan, nan]"
03-16-05-001,"PRY SCH,MBAK OBIO",EAST ITAM 111,5.150813,7.9538378,1,1.25,104.875,19.125,"['03-10-02-005', '03-16-05-002', '03-16-05-003', nan, nan, nan, nan, nan]"
03-16-05-002,"SEC SCH, MBAK OBIO",EAST ITAM 111,5.150813,7.9538378,2.375,28,72.25,10.125,"['03-10-02-005', '03-16-05-001', '03-16-05-003', nan, nan, nan, nan, nan]"
03-16-05-003,"PRY SCH, IKOT ANDEM",EAST ITAM 111,5.145008,7.9531568,14.77777778,20.33333333,16.88888889,5.444444444,"['03-10-02-005', '03-16-05-001', '03-16-05-002', '03-16-05-007', nan, nan, nan, nan, nan]"
03-16-05-004,"TOWN HALL, OBONG ITAM I",EAST ITAM 111,5.13073,7.9586053,2.5,28,10,6,"['03-16-05-005', nan]"
03-16-05-005,"TOWN HALL, OBONG ITAM II",EAST ITAM 111,5.13073,7.9586053,10,16,14,3,"['03-16-05-004', nan]"
03-16-05-006,"VILLAGE SQUARE, IKOT USO AKPAN",EAST ITAM 111,5.134447,7.9453254,0,0,0,0,[]
03-16-05-007,"VILLAGE SQUARE, EKIM ITAM",EAST ITAM 111,5.143614,7.9613296,28.28571429,19.28571429,36.71428571,4.714285714,"['03-10-02-005', '03-16-05-003', nan, nan, nan, nan, nan]"
03-16-06-001,"CO-OPERATIVE HALL, IKOT ANIE",EAST ITAM 1V,5.160741,7.986535,21.5,15.16666667,50.83333333,7.333333333,"['03-16-04-009', '03-16-06-002', '03-16-06-005', '03-16-06-006', '03-16-06-007', nan]"
03-16-06-002,"PRY SCH, IKOT ANIE",EAST ITAM 1V,5.160741,7.986535,5.166666667,2.333333333,13.5,3.833333333,"['03-16-04-009', '03-16-06-001', '03-16-06-005', '03-16-06-006', '03-16-06-007', nan]"
03-16-06-003,"TOWN HALL, EMA ITAM",EAST ITAM 1V,5.137858,7.98284,26,29,60,2,['03-16-06-004']
03-16-06-004,PRI. SCH. EMA ITAM,EAST ITAM 1V,5.137858,7.98284,26,29,60,2,['03-16-06-003']
03-16-06-005,"VILLAGE SQUARE, ADANG",EAST ITAM 1V,5.160741,7.986535,14.66666667,7,4,5.5,"['03-16-04-009', '03-16-06-001', '03-16-06-002', '03-16-06-006', '03-16-06-007', nan]"
03-16-06-006,"PRY SCH, IKOT AKPAN",EAST ITAM 1V,5.152023,7.9861944,22.81818182,0.909090909,23.27272727,7.272727273,"['03-16-04-009', '03-16-06-001', '03-16-06-002', '03-16-06-005', '03-16-06-007', '03-16-06-009', '03-16-07-005', nan, nan, nan, nan]"
03-16-06-007,"PRY SCH, IKOT NYA",EAST ITAM 1V,5.160069,7.9885791,4,4.666666667,1.666666667,13.66666667,"['03-16-04-009', '03-16-06-001', '03-16-06-002', '03-16-06-005', '03-16-06-006', nan]"
03-16-06-009,TOWN HALL NKIM,EAST ITAM 1V,5.152148,7.9827026,4.428571429,7.857142857,5.714285714,1.714285714,"['03-16-04-009', '03-16-06-006', '03-16-07-005', nan, nan, nan, nan]"
03-16-07-001,"TOWN HALL, MKPETI",EAST ITAM V,5.18142,7.986535,1.666666667,18,2,6.333333333,"['03-16-07-003', '03-16-07-004', '03-16-07-006', '03-16-07-007', '03-16-07-008', '03-16-07-010']"
03-16-07-002,"VILLAGE SQUARE, IKOT AYAN",EAST ITAM V,5.122979,7.9976078,0,0,0,0,[]
03-16-07-003,"PRY SCH, MBAK ATAI. I",EAST ITAM V,5.18142,7.986535,13.33333333,24,19.5,2.833333333,"['03-16-07-001', '03-16-07-004', '03-16-07-006', '03-16-07-007', '03-16-07-008', '03-16-07-010']"
03-16-07-004,"PRY SCH, MBAK ATAI. II",EAST ITAM V,5.18142,7.986535,21.5,5.333333333,33.5,2.833333333,"['03-16-07-001', '03-16-07-003', '03-16-07-006', '03-16-07-007', '03-16-07-008', '03-16-07-010']"
03-16-07-005,"TOWN HALL, ENEN ATAI",EAST ITAM V,5.147975,7.987046,26.8,32.4,16,1.8,"['03-16-06-006', '03-16-06-009', nan, nan, nan]"
03-16-07-006,"PRY SCH, AFAHA I",EAST ITAM V,5.18142,7.986535,70.66666667,23.83333333,52.83333333,0.666666667,"['03-16-07-001', '03-16-07-003', '03-16-07-004', '03-16-07-007', '03-16-07-008', '03-16-07-010']"
03-16-07-007,"VILLAGE SQUARE, UKPON NTIAT",EAST ITAM V,5.183402,7.9831284,19.33333333,32.16666667,23.66666667,1.666666667,"['03-16-07-001', '03-16-07-003', '03-16-07-004', '03-16-07-006', '03-16-07-008', '03-16-07-010']"
03-16-07-008,VILLAGE SQUARE OKPOENYEN,EAST ITAM V,5.18142,7.986535,11,13.5,33,6.5,"['03-16-07-001', '03-16-07-003', '03-16-07-004', '03-16-07-006', '03-16-07-007', '03-16-07-010']"
